Line,Smell,Cause,Number of Conditions,Threshold,File
381,complex conditional,long if,4,3,../input_projects/java_projects/spring-framework/spring-orm/src/main/java/org/springframework/orm/jpa/support/PersistenceAnnotationBeanPostProcessor.java
422,complex conditional,long if,4,3,../input_projects/java_projects/spring-framework/spring-orm/src/main/java/org/springframework/orm/jpa/support/PersistenceAnnotationBeanPostProcessor.java
454,complex conditional,long if,5,3,../input_projects/java_projects/spring-framework/spring-orm/src/main/java/org/springframework/orm/jpa/support/PersistenceAnnotationBeanPostProcessor.java
487,complex conditional,long if,5,3,../input_projects/java_projects/spring-framework/spring-orm/src/main/java/org/springframework/orm/jpa/support/PersistenceAnnotationBeanPostProcessor.java
599,complex conditional,long if,4,3,../input_projects/java_projects/spring-framework/spring-orm/src/main/java/org/springframework/orm/jpa/support/PersistenceAnnotationBeanPostProcessor.java
635,complex conditional,long if,4,3,../input_projects/java_projects/spring-framework/spring-orm/src/main/java/org/springframework/orm/jpa/support/PersistenceAnnotationBeanPostProcessor.java
690,complex conditional,long if,4,3,../input_projects/java_projects/spring-framework/spring-orm/src/main/java/org/springframework/orm/jpa/support/PersistenceAnnotationBeanPostProcessor.java
92,complex conditional,long if,5,3,../input_projects/java_projects/spring-framework/spring-orm/src/main/java/org/springframework/orm/jpa/support/SharedEntityManagerBean.java
375,complex conditional,long if,6,3,../input_projects/java_projects/spring-framework/spring-orm/src/main/java/org/springframework/orm/jpa/ExtendedEntityManagerCreator.java
301,complex conditional,long switch,16,3,../input_projects/java_projects/spring-framework/spring-orm/src/main/java/org/springframework/orm/jpa/ExtendedEntityManagerCreator.java
347,complex conditional,long if,4,3,../input_projects/java_projects/spring-framework/spring-orm/src/main/java/org/springframework/orm/jpa/JpaTransactionManager.java
432,complex conditional,long if,6,3,../input_projects/java_projects/spring-framework/spring-orm/src/main/java/org/springframework/orm/jpa/JpaTransactionManager.java
516,complex conditional,long if,4,3,../input_projects/java_projects/spring-framework/spring-orm/src/main/java/org/springframework/orm/jpa/persistenceunit/DefaultPersistenceUnitManager.java
547,complex conditional,long if,4,3,../input_projects/java_projects/spring-framework/spring-orm/src/main/java/org/springframework/orm/jpa/persistenceunit/DefaultPersistenceUnitManager.java
592,complex conditional,long if,5,3,../input_projects/java_projects/spring-framework/spring-orm/src/main/java/org/springframework/orm/jpa/persistenceunit/DefaultPersistenceUnitManager.java
302,complex conditional,long if,5,3,../input_projects/java_projects/spring-framework/spring-orm/src/main/java/org/springframework/orm/jpa/persistenceunit/PersistenceUnitReader.java
98,complex conditional,long switch,11,3,../input_projects/java_projects/spring-framework/spring-orm/src/main/java/org/springframework/orm/jpa/vendor/EclipseLinkJpaVendorAdapter.java
89,complex conditional,long if,5,3,../input_projects/java_projects/spring-framework/spring-orm/src/main/java/org/springframework/orm/jpa/vendor/EclipseLinkJpaDialect.java
149,complex conditional,long if,4,3,../input_projects/java_projects/spring-framework/spring-orm/src/main/java/org/springframework/orm/jpa/vendor/HibernateJpaDialect.java
