Line,Smell,Number of Parameters,Threshold,File
77,long parameters,6,5,../input_projects/java_projects/spring-framework/spring-tx/src/main/java/org/springframework/transaction/reactive/GenericReactiveTransaction.java
226,long parameters,6,5,../input_projects/java_projects/spring-framework/spring-tx/src/main/java/org/springframework/transaction/reactive/AbstractReactiveTransactionManager.java
239,long parameters,6,5,../input_projects/java_projects/spring-framework/spring-tx/src/main/java/org/springframework/transaction/reactive/AbstractReactiveTransactionManager.java
932,long parameters,6,5,../input_projects/java_projects/spring-framework/spring-tx/src/main/java/org/springframework/transaction/reactive/AbstractReactiveTransactionManager.java
501,long parameters,6,5,../input_projects/java_projects/spring-framework/spring-tx/src/main/java/org/springframework/transaction/support/AbstractPlatformTransactionManager.java
514,long parameters,6,5,../input_projects/java_projects/spring-framework/spring-tx/src/main/java/org/springframework/transaction/support/AbstractPlatformTransactionManager.java
1285,long parameters,6,5,../input_projects/java_projects/spring-framework/spring-tx/src/main/java/org/springframework/transaction/support/AbstractPlatformTransactionManager.java
83,long parameters,6,5,../input_projects/java_projects/spring-framework/spring-tx/src/main/java/org/springframework/transaction/support/DefaultTransactionStatus.java
145,long parameters,6,5,../input_projects/java_projects/spring-framework/spring-tx/src/main/java/org/springframework/jca/work/SimpleTaskWorkManager.java
735,long parameters,6,5,../input_projects/java_projects/spring-framework/spring-aop/src/test/java/org/springframework/aop/aspectj/annotation/AbstractAspectJAdvisorFactoryTests.java
332,long parameters,6,5,../input_projects/java_projects/spring-framework/spring-aop/src/test/java/org/springframework/aop/aspectj/AspectJAdviceParameterNameDiscovererTests.java
748,long parameters,7,5,../input_projects/java_projects/spring-framework/spring-aop/src/main/java/org/springframework/aop/framework/CglibAopProxy.java
108,long parameters,6,5,../input_projects/java_projects/spring-framework/spring-aop/src/main/java/org/springframework/aop/framework/ReflectiveMethodInvocation.java
315,long parameters,7,5,../input_projects/java_projects/spring-framework/spring-aop/src/main/java/org/springframework/aop/config/ConfigBeanDefinitionParser.java
364,long parameters,8,5,../input_projects/java_projects/spring-framework/spring-aop/src/main/java/org/springframework/aop/config/ConfigBeanDefinitionParser.java
84,long parameters,6,5,../input_projects/java_projects/spring-framework/spring-aop/src/main/java/org/springframework/aop/aspectj/annotation/InstantiationModelAwarePointcutAdvisorImpl.java
