Line,Smell,Cause,Number of Conditions,Threshold,File
329,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/zerver/actions/create_user.py
361,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/zerver/actions/create_user.py
591,complex conditional,long if,7,3,../input_projects/multi_projects/zulip/zerver/actions/streams.py
922,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/zerver/actions/streams.py
95,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/zerver/actions/reactions.py
131,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/zerver/actions/reactions.py
102,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/zerver/actions/message_edit.py
280,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/zerver/actions/message_edit.py
425,complex conditional,long if,6,3,../input_projects/multi_projects/zulip/zerver/actions/message_edit.py
535,complex conditional,long if,6,3,../input_projects/multi_projects/zulip/zerver/actions/message_edit.py
617,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/zerver/actions/message_edit.py
629,complex conditional,long if,8,3,../input_projects/multi_projects/zulip/zerver/actions/message_edit.py
745,complex conditional,long if,5,3,../input_projects/multi_projects/zulip/zerver/actions/message_edit.py
837,complex conditional,long if,9,3,../input_projects/multi_projects/zulip/zerver/actions/message_edit.py
993,complex conditional,long if,11,3,../input_projects/multi_projects/zulip/zerver/actions/message_edit.py
1123,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/zerver/actions/message_edit.py
1259,complex conditional,long if,8,3,../input_projects/multi_projects/zulip/zerver/actions/message_edit.py
1305,complex conditional,long if,5,3,../input_projects/multi_projects/zulip/zerver/actions/message_edit.py
164,complex conditional,long if,7,3,../input_projects/multi_projects/zulip/zerver/actions/scheduled_messages.py
562,complex conditional,long if,6,3,../input_projects/multi_projects/zulip/zerver/actions/realm_settings.py
242,complex conditional,long if,11,3,../input_projects/multi_projects/zulip/zerver/actions/message_send.py
938,complex conditional,long if,8,3,../input_projects/multi_projects/zulip/zerver/actions/message_send.py
1142,complex conditional,long if,6,3,../input_projects/multi_projects/zulip/zerver/actions/message_send.py
1462,complex conditional,long if,5,3,../input_projects/multi_projects/zulip/zerver/actions/message_send.py
1643,complex conditional,long if,7,3,../input_projects/multi_projects/zulip/zerver/actions/message_send.py
61,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/zerver/actions/submessage.py
479,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/zerver/lib/validator.py
213,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/zerver/lib/queue.py
253,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/zerver/lib/digest.py
27,complex conditional,long if,10,3,../input_projects/multi_projects/zulip/zerver/lib/zcommand.py
639,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/zerver/lib/event_schema.py
927,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/zerver/lib/event_schema.py
1058,complex conditional,long if,10,3,../input_projects/multi_projects/zulip/zerver/lib/event_schema.py
1357,complex conditional,long if,8,3,../input_projects/multi_projects/zulip/zerver/lib/event_schema.py
112,complex conditional,long if,14,3,../input_projects/multi_projects/zulip/zerver/lib/generate_test_data.py
182,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/zerver/lib/streams.py
238,complex conditional,long if,6,3,../input_projects/multi_projects/zulip/zerver/lib/streams.py
724,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/zerver/lib/streams.py
734,complex conditional,long if,12,3,../input_projects/multi_projects/zulip/zerver/lib/streams.py
903,complex conditional,long if,8,3,../input_projects/multi_projects/zulip/zerver/lib/streams.py
25,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/zerver/lib/widget.py
92,complex conditional,long if,6,3,../input_projects/multi_projects/zulip/zerver/lib/home.py
244,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/zerver/lib/home.py
94,complex conditional,long if,8,3,../input_projects/multi_projects/zulip/zerver/lib/users.py
365,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/zerver/lib/users.py
526,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/zerver/lib/users.py
151,complex conditional,long if,20,3,../input_projects/multi_projects/zulip/zerver/lib/narrow.py
366,complex conditional,long if,7,3,../input_projects/multi_projects/zulip/zerver/lib/narrow.py
797,complex conditional,long if,5,3,../input_projects/multi_projects/zulip/zerver/lib/narrow.py
874,complex conditional,long if,6,3,../input_projects/multi_projects/zulip/zerver/lib/narrow.py
1160,complex conditional,long if,5,3,../input_projects/multi_projects/zulip/zerver/lib/narrow.py
1192,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/zerver/lib/narrow.py
1246,complex conditional,long if,5,3,../input_projects/multi_projects/zulip/zerver/lib/narrow.py
103,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/zerver/lib/user_status.py
167,complex conditional,long if,5,3,../input_projects/multi_projects/zulip/zerver/lib/events.py
244,complex conditional,long if,12,3,../input_projects/multi_projects/zulip/zerver/lib/events.py
749,complex conditional,long if,199,3,../input_projects/multi_projects/zulip/zerver/lib/events.py
1695,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/zerver/lib/events.py
94,complex conditional,long if,11,3,../input_projects/multi_projects/zulip/zerver/lib/emoji.py
137,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/zerver/lib/emoji.py
470,complex conditional,long if,7,3,../input_projects/multi_projects/zulip/zerver/lib/markdown/__init__.py
761,complex conditional,long if,6,3,../input_projects/multi_projects/zulip/zerver/lib/markdown/__init__.py
807,complex conditional,long if,7,3,../input_projects/multi_projects/zulip/zerver/lib/markdown/__init__.py
1076,complex conditional,long if,7,3,../input_projects/multi_projects/zulip/zerver/lib/markdown/__init__.py
1251,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/zerver/lib/markdown/__init__.py
1331,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/zerver/lib/markdown/__init__.py
1368,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/zerver/lib/markdown/__init__.py
1377,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/zerver/lib/markdown/__init__.py
1532,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/zerver/lib/markdown/__init__.py
1577,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/zerver/lib/markdown/__init__.py
1765,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/zerver/lib/markdown/__init__.py
1872,complex conditional,long if,14,3,../input_projects/multi_projects/zulip/zerver/lib/markdown/__init__.py
1939,complex conditional,long if,5,3,../input_projects/multi_projects/zulip/zerver/lib/markdown/__init__.py
2072,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/zerver/lib/markdown/__init__.py
2486,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/zerver/lib/markdown/__init__.py
2631,complex conditional,long if,5,3,../input_projects/multi_projects/zulip/zerver/lib/markdown/__init__.py
171,complex conditional,long if,5,3,../input_projects/multi_projects/zulip/zerver/lib/markdown/api_arguments_table_generator.py
273,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/zerver/lib/markdown/api_arguments_table_generator.py
229,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/zerver/lib/markdown/fenced_code.py
117,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/zerver/lib/markdown/api_return_values_table_generator.py
146,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/zerver/lib/markdown/api_return_values_table_generator.py
152,complex conditional,long if,9,3,../input_projects/multi_projects/zulip/zerver/lib/onboarding.py
41,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/zerver/lib/dev_ldap_directory.py
217,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/zerver/lib/typed_endpoint.py
357,complex conditional,long if,5,3,../input_projects/multi_projects/zulip/zerver/lib/typed_endpoint.py
156,complex conditional,long if,7,3,../input_projects/multi_projects/zulip/zerver/lib/rest.py
68,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/zerver/lib/external_accounts.py
271,complex conditional,long if,5,3,../input_projects/multi_projects/zulip/zerver/lib/outgoing_webhook.py
357,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/zerver/lib/request.py
393,complex conditional,long if,7,3,../input_projects/multi_projects/zulip/zerver/lib/request.py
75,complex conditional,long if,5,3,../input_projects/multi_projects/zulip/zerver/lib/timeout.py
732,complex conditional,long if,6,3,../input_projects/multi_projects/zulip/zerver/lib/message.py
1216,complex conditional,long if,6,3,../input_projects/multi_projects/zulip/zerver/lib/message.py
1252,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/zerver/lib/message.py
1376,complex conditional,long if,5,3,../input_projects/multi_projects/zulip/zerver/lib/message.py
1387,complex conditional,long if,5,3,../input_projects/multi_projects/zulip/zerver/lib/message.py
1510,complex conditional,long if,7,3,../input_projects/multi_projects/zulip/zerver/lib/message.py
23,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/zerver/lib/url_preview/parsers/open_graph.py
521,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/zerver/lib/export.py
533,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/zerver/lib/export.py
580,complex conditional,long if,13,3,../input_projects/multi_projects/zulip/zerver/lib/export.py
1484,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/zerver/lib/export.py
1681,complex conditional,long if,7,3,../input_projects/multi_projects/zulip/zerver/lib/export.py
211,complex conditional,long if,9,3,../input_projects/multi_projects/zulip/zerver/lib/notification_data.py
14,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/zerver/lib/realm_icon.py
106,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/zerver/lib/avatar.py
80,complex conditional,long if,6,3,../input_projects/multi_projects/zulip/zerver/lib/logging_util.py
184,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/zerver/lib/import_realm.py
311,complex conditional,long if,10,3,../input_projects/multi_projects/zulip/zerver/lib/import_realm.py
403,complex conditional,long if,5,3,../input_projects/multi_projects/zulip/zerver/lib/import_realm.py
495,complex conditional,long if,5,3,../input_projects/multi_projects/zulip/zerver/lib/import_realm.py
722,complex conditional,long if,5,3,../input_projects/multi_projects/zulip/zerver/lib/import_realm.py
759,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/zerver/lib/import_realm.py
796,complex conditional,long if,6,3,../input_projects/multi_projects/zulip/zerver/lib/import_realm.py
828,complex conditional,long if,8,3,../input_projects/multi_projects/zulip/zerver/lib/import_realm.py
233,complex conditional,long if,5,3,../input_projects/multi_projects/zulip/zerver/lib/scim.py
111,complex conditional,long if,11,3,../input_projects/multi_projects/zulip/zerver/lib/addressee.py
272,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/zerver/lib/test_runner.py
58,complex conditional,long if,5,3,../input_projects/multi_projects/zulip/zerver/lib/drafts.py
123,complex conditional,long if,8,3,../input_projects/multi_projects/zulip/zerver/lib/management.py
215,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/zerver/lib/management.py
11,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/zerver/lib/zephyr.py
79,complex conditional,long if,6,3,../input_projects/multi_projects/zulip/zerver/lib/soft_deactivation.py
397,complex conditional,long if,7,3,../input_projects/multi_projects/zulip/zerver/lib/test_helpers.py
441,complex conditional,long if,17,3,../input_projects/multi_projects/zulip/zerver/lib/test_helpers.py
56,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/zerver/lib/github.py
168,complex conditional,long if,5,3,../input_projects/multi_projects/zulip/zerver/lib/email_notifications.py
264,complex conditional,long if,5,3,../input_projects/multi_projects/zulip/zerver/lib/email_notifications.py
479,complex conditional,long if,9,3,../input_projects/multi_projects/zulip/zerver/lib/email_notifications.py
40,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/zerver/lib/mention.py
226,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/zerver/lib/webhooks/git.py
120,complex conditional,long if,6,3,../input_projects/multi_projects/zulip/zerver/lib/webhooks/common.py
94,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/zerver/lib/send_email.py
72,complex conditional,long if,6,3,../input_projects/multi_projects/zulip/zerver/lib/migrate.py
915,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/zerver/lib/test_classes.py
2111,complex conditional,long if,7,3,../input_projects/multi_projects/zulip/zerver/lib/test_classes.py
170,complex conditional,long if,8,3,../input_projects/multi_projects/zulip/zerver/lib/remote_server.py
316,complex conditional,long if,5,3,../input_projects/multi_projects/zulip/zerver/lib/push_notifications.py
523,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/zerver/lib/push_notifications.py
891,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/zerver/lib/push_notifications.py
1021,complex conditional,long if,5,3,../input_projects/multi_projects/zulip/zerver/lib/push_notifications.py
1298,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/zerver/lib/push_notifications.py
262,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/zerver/lib/email_mirror.py
454,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/zerver/lib/email_mirror.py
1023,complex conditional,long if,11,3,../input_projects/multi_projects/zulip/zerver/worker/queue_processors.py
54,complex conditional,long if,5,3,../input_projects/multi_projects/zulip/zerver/webhooks/freshdesk/view.py
148,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/zerver/webhooks/freshdesk/view.py
52,complex conditional,long if,5,3,../input_projects/multi_projects/zulip/zerver/webhooks/ansibletower/view.py
215,complex conditional,long if,15,3,../input_projects/multi_projects/zulip/zerver/webhooks/taiga/view.py
306,complex conditional,long if,7,3,../input_projects/multi_projects/zulip/zerver/webhooks/taiga/view.py
454,complex conditional,long if,11,3,../input_projects/multi_projects/zulip/zerver/webhooks/gitlab/view.py
518,complex conditional,long if,5,3,../input_projects/multi_projects/zulip/zerver/webhooks/gitlab/view.py
90,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/zerver/webhooks/bitbucket2/view.py
171,complex conditional,long if,12,3,../input_projects/multi_projects/zulip/zerver/webhooks/bitbucket2/view.py
218,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/zerver/webhooks/bitbucket2/view.py
60,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/zerver/webhooks/freshping/view.py
24,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/zerver/webhooks/dialogflow/view.py
47,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/zerver/webhooks/wordpress/view.py
156,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/zerver/webhooks/bitbucket3/view.py
204,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/zerver/webhooks/bitbucket3/view.py
306,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/zerver/webhooks/bitbucket3/view.py
351,complex conditional,long if,5,3,../input_projects/multi_projects/zulip/zerver/webhooks/bitbucket3/view.py
120,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/zerver/webhooks/pagerduty/view.py
210,complex conditional,long if,5,3,../input_projects/multi_projects/zulip/zerver/webhooks/pagerduty/view.py
242,complex conditional,long if,8,3,../input_projects/multi_projects/zulip/zerver/webhooks/pagerduty/view.py
101,complex conditional,long if,5,3,../input_projects/multi_projects/zulip/zerver/webhooks/circleci/view.py
137,complex conditional,long if,5,3,../input_projects/multi_projects/zulip/zerver/webhooks/linear/view.py
155,complex conditional,long if,5,3,../input_projects/multi_projects/zulip/zerver/webhooks/linear/view.py
48,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/zerver/webhooks/solano/view.py
58,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/zerver/webhooks/solano/view.py
98,complex conditional,long if,15,3,../input_projects/multi_projects/zulip/zerver/webhooks/clubhouse/view.py
563,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/zerver/webhooks/clubhouse/view.py
617,complex conditional,long if,5,3,../input_projects/multi_projects/zulip/zerver/webhooks/clubhouse/view.py
633,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/zerver/webhooks/clubhouse/view.py
55,complex conditional,long if,14,3,../input_projects/multi_projects/zulip/zerver/webhooks/grafana/view.py
40,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/zerver/webhooks/slack_incoming/view.py
89,complex conditional,long if,16,3,../input_projects/multi_projects/zulip/zerver/webhooks/slack_incoming/view.py
206,complex conditional,long if,5,3,../input_projects/multi_projects/zulip/zerver/webhooks/slack_incoming/view.py
66,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/zerver/webhooks/radarr/view.py
149,complex conditional,long if,11,3,../input_projects/multi_projects/zulip/zerver/webhooks/radarr/view.py
