Line,Smell,Number of Lines,Threshold,File
1411,long method,168,100,../input_projects/multi_projects/zulip/web/src/recent_view_ui.js
656,long method,157,100,../input_projects/multi_projects/zulip/web/src/composebox_typeahead.js
842,long method,167,100,../input_projects/multi_projects/zulip/web/src/composebox_typeahead.js
784,long method,159,100,../input_projects/multi_projects/zulip/web/src/user_group_edit.js
88,long method,444,100,../input_projects/multi_projects/zulip/web/src/narrow.js
556,long method,155,100,../input_projects/multi_projects/zulip/web/src/narrow.js
1014,long method,136,100,../input_projects/multi_projects/zulip/web/src/narrow.js
44,long method,205,100,../input_projects/multi_projects/zulip/web/src/left_sidebar_navigation_area_popovers.js
25,long method,118,100,../input_projects/multi_projects/zulip/web/src/message_edit_history.js
21,long method,131,100,../input_projects/multi_projects/zulip/web/src/message_edit_history.js
253,long method,181,100,../input_projects/multi_projects/zulip/web/src/upload.js
14,long method,166,100,../input_projects/multi_projects/zulip/web/src/integration_url_modal.js
31,long method,138,100,../input_projects/multi_projects/zulip/web/src/integration_url_modal.js
521,long method,160,100,../input_projects/multi_projects/zulip/web/src/stream_settings_ui.js
702,long method,131,100,../input_projects/multi_projects/zulip/web/src/emoji_picker.js
103,long method,215,100,../input_projects/multi_projects/zulip/web/src/rendered_markdown.js
17,long method,104,100,../input_projects/multi_projects/zulip/web/src/portico/landing-page.js
40,long method,111,100,../input_projects/multi_projects/zulip/web/src/compose_call_ui.js
27,long method,128,100,../input_projects/multi_projects/zulip/web/src/user_events.js
804,long method,215,100,../input_projects/multi_projects/zulip/web/src/message_list_view.js
1538,long method,132,100,../input_projects/multi_projects/zulip/web/src/message_list_view.js
346,long method,123,100,../input_projects/multi_projects/zulip/web/src/user_profile.js
485,long method,189,100,../input_projects/multi_projects/zulip/web/src/user_profile.js
712,long method,105,100,../input_projects/multi_projects/zulip/web/src/user_profile.js
819,long method,131,100,../input_projects/multi_projects/zulip/web/src/user_profile.js
123,long method,179,100,../input_projects/multi_projects/zulip/web/src/dropdown_widget.js
138,long method,150,100,../input_projects/multi_projects/zulip/web/src/dropdown_widget.js
95,long method,223,100,../input_projects/multi_projects/zulip/web/src/message_list_tooltips.js
532,long method,138,100,../input_projects/multi_projects/zulip/web/src/lightbox.js
56,long method,109,100,../input_projects/multi_projects/zulip/web/src/topic_popover.js
19,long method,154,100,../input_projects/multi_projects/zulip/web/src/topic_popover.js
97,long method,117,100,../input_projects/multi_projects/zulip/web/src/message_actions_popover.js
71,long method,152,100,../input_projects/multi_projects/zulip/web/src/message_actions_popover.js
191,long method,131,100,../input_projects/multi_projects/zulip/web/src/drafts_overlay_ui.js
149,long method,146,100,../input_projects/multi_projects/zulip/web/src/settings_notifications.js
387,long method,608,100,../input_projects/multi_projects/zulip/web/src/compose_ui.js
583,long method,143,100,../input_projects/multi_projects/zulip/web/src/compose_ui.js
415,long method,290,100,../input_projects/multi_projects/zulip/web/src/stream_edit.js
223,long method,153,100,../input_projects/multi_projects/zulip/web/src/message_fetch.js
515,long method,118,100,../input_projects/multi_projects/zulip/web/src/message_fetch.js
975,long method,111,100,../input_projects/multi_projects/zulip/web/src/inbox_ui.js
1210,long method,148,100,../input_projects/multi_projects/zulip/web/src/inbox_ui.js
641,long method,245,100,../input_projects/multi_projects/zulip/web/src/user_card_popover.js
40,long method,142,100,../input_projects/multi_projects/zulip/web/src/search.js
164,long method,143,100,../input_projects/multi_projects/zulip/web/src/stream_create.js
620,long method,150,100,../input_projects/multi_projects/zulip/web/src/settings_org.js
821,long method,109,100,../input_projects/multi_projects/zulip/web/src/settings_org.js
932,long method,212,100,../input_projects/multi_projects/zulip/web/src/settings_org.js
80,long method,110,100,../input_projects/multi_projects/zulip/web/src/filter.js
54,long method,109,100,../input_projects/multi_projects/zulip/web/src/unread_ops.js
253,long method,568,100,../input_projects/multi_projects/zulip/web/src/settings_account.js
258,long method,101,100,../input_projects/multi_projects/zulip/web/src/settings_account.js
49,long method,437,100,../input_projects/multi_projects/zulip/web/src/compose_setup.js
314,long method,178,100,../input_projects/multi_projects/zulip/web/src/copy_and_paste.js
121,long method,110,100,../input_projects/multi_projects/zulip/web/src/markdown.js
107,long method,201,100,../input_projects/multi_projects/zulip/web/src/markdown.js
532,long method,131,100,../input_projects/multi_projects/zulip/web/src/markdown.js
