Line,Smell,Number of Lines,Threshold,File
968,long method,155,100,../input_projects/js_projects/node_cli/workspaces/arborist/lib/shrinkwrap.js
74,long method,187,100,../input_projects/js_projects/node_cli/workspaces/arborist/lib/node.js
558,long method,273,100,../input_projects/js_projects/node_cli/workspaces/arborist/lib/node.js
19,long method,284,100,../input_projects/js_projects/node_cli/workspaces/arborist/lib/arborist/load-virtual.js
215,long method,237,100,../input_projects/js_projects/node_cli/workspaces/arborist/lib/arborist/isolated-reifier.js
25,long method,428,100,../input_projects/js_projects/node_cli/workspaces/arborist/lib/arborist/isolated-reifier.js
98,long method,127,100,../input_projects/js_projects/node_cli/workspaces/arborist/lib/arborist/load-actual.js
23,long method,415,100,../input_projects/js_projects/node_cli/workspaces/arborist/lib/arborist/load-actual.js
780,long method,263,100,../input_projects/js_projects/node_cli/workspaces/arborist/lib/arborist/build-ideal-tree.js
101,long method,1446,100,../input_projects/js_projects/node_cli/workspaces/arborist/lib/arborist/build-ideal-tree.js
1197,long method,268,100,../input_projects/js_projects/node_cli/workspaces/arborist/lib/arborist/reify.js
1467,long method,122,100,../input_projects/js_projects/node_cli/workspaces/arborist/lib/arborist/reify.js
105,long method,1503,100,../input_projects/js_projects/node_cli/workspaces/arborist/lib/arborist/reify.js
1228,long method,113,100,../input_projects/js_projects/node_cli/workspaces/arborist/lib/arborist/reify.js
28,long method,376,100,../input_projects/js_projects/node_cli/workspaces/arborist/lib/arborist/rebuild.js
162,long method,149,100,../input_projects/js_projects/node_cli/workspaces/arborist/lib/can-place-dep.js
3,long method,148,100,../input_projects/js_projects/node_cli/workspaces/arborist/lib/tree-check.js
14,long method,120,100,../input_projects/js_projects/node_cli/workspaces/arborist/lib/tree-check.js
12,long method,101,100,../input_projects/js_projects/node_cli/workspaces/arborist/lib/dep-valid.js
532,long method,134,100,../input_projects/js_projects/node_cli/workspaces/libnpmfund/test/index.js
755,long method,163,100,../input_projects/js_projects/node_cli/workspaces/libnpmfund/test/index.js
44,long method,153,100,../input_projects/js_projects/node_cli/workspaces/libnpmfund/lib/index.js
121,long method,131,100,../input_projects/js_projects/node_cli/workspaces/libnpmexec/test/fixtures/setup.js
79,long method,204,100,../input_projects/js_projects/node_cli/workspaces/libnpmexec/lib/index.js
74,long method,106,100,../input_projects/js_projects/node_cli/scripts/bundle-and-gitignore-deps.js
120,long method,163,100,../input_projects/js_projects/node_cli/scripts/create-node-pr.js
120,long method,163,100,../input_projects/js_projects/node_cli/scripts/create-node-pr.js
106,long method,118,100,../input_projects/js_projects/node_cli/lib/utils/exit-handler.js
22,long method,411,100,../input_projects/js_projects/node_cli/lib/utils/error-message.js
21,long method,103,100,../input_projects/js_projects/node_cli/lib/utils/reify-output.js
234,long method,140,100,../input_projects/js_projects/node_cli/lib/commands/profile.js
49,long method,158,100,../input_projects/js_projects/node_cli/lib/commands/ls.js
32,long method,138,100,../input_projects/js_projects/node_cli/lib/commands/audit.js
40,long method,116,100,../input_projects/js_projects/node_cli/lib/commands/publish.js
320,long method,127,100,../input_projects/js_projects/node_cli/lib/commands/view.js
97,long method,124,100,../input_projects/js_projects/node_cli/lib/commands/diff.js
