Line,Smell,Number of Lines,Threshold_nol,Number of Children,Threshold_noc,File
57,long class,210,200,9,20,../input_projects/java_projects/maven-3-9-6/maven-core/src/main/java/org/apache/maven/project/ProjectModelResolver.java
56,long class,233,200,5,20,../input_projects/java_projects/maven-3-9-6/maven-core/src/main/java/org/apache/maven/project/DefaultProjectDependenciesResolver.java
90,long class,1591,200,176,20,../input_projects/java_projects/maven-3-9-6/maven-core/src/main/java/org/apache/maven/project/MavenProject.java
36,long class,253,200,35,20,../input_projects/java_projects/maven-3-9-6/maven-core/src/main/java/org/apache/maven/project/DefaultProjectBuildingRequest.java
84,long class,928,200,30,20,../input_projects/java_projects/maven-3-9-6/maven-core/src/main/java/org/apache/maven/project/DefaultProjectBuilder.java
39,long class,128,200,23,20,../input_projects/java_projects/maven-3-9-6/maven-core/src/main/java/org/apache/maven/project/artifact/AttachedArtifact.java
43,long class,294,200,50,20,../input_projects/java_projects/maven-3-9-6/maven-core/src/main/java/org/apache/maven/project/artifact/ActiveProjectArtifact.java
93,long class,632,200,22,20,../input_projects/java_projects/maven-3-9-6/maven-core/src/main/java/org/apache/maven/project/artifact/MavenMetadataSource.java
42,long class,280,200,22,20,../input_projects/java_projects/maven-3-9-6/maven-core/src/main/java/org/apache/maven/project/artifact/DefaultMavenMetadataCache.java
43,long class,262,200,12,20,../input_projects/java_projects/maven-3-9-6/maven-core/src/main/java/org/apache/maven/project/ProjectSorter.java
62,long class,201,200,4,20,../input_projects/java_projects/maven-3-9-6/maven-core/src/main/java/org/apache/maven/project/DefaultProjectBuildingHelper.java
58,long class,314,200,18,20,../input_projects/java_projects/maven-3-9-6/maven-core/src/main/java/org/apache/maven/classrealm/DefaultClassRealmManager.java
66,long class,406,200,15,20,../input_projects/java_projects/maven-3-9-6/maven-core/src/main/java/org/apache/maven/DefaultMaven.java
45,long class,369,200,44,20,../input_projects/java_projects/maven-3-9-6/maven-core/src/main/java/org/apache/maven/execution/MavenSession.java
48,long class,1038,200,115,20,../input_projects/java_projects/maven-3-9-6/maven-core/src/main/java/org/apache/maven/execution/DefaultMavenExecutionRequest.java
48,long class,218,200,10,20,../input_projects/java_projects/maven-3-9-6/maven-core/src/main/java/org/apache/maven/execution/DefaultMavenExecutionRequestPopulator.java
36,long class,335,200,39,20,../input_projects/java_projects/maven-3-9-6/maven-core/src/main/java/org/apache/maven/artifact/repository/MavenArtifactRepository.java
53,long class,297,200,57,20,../input_projects/java_projects/maven-3-9-6/maven-core/src/main/java/org/apache/maven/artifact/repository/LegacyLocalRepositoryManager.java
242,long class,107,200,31,20,../input_projects/java_projects/maven-3-9-6/maven-core/src/main/java/org/apache/maven/artifact/repository/LegacyLocalRepositoryManager.java
47,long class,277,200,33,20,../input_projects/java_projects/maven-3-9-6/maven-core/src/main/java/org/apache/maven/artifact/resolver/ArtifactResolutionResult.java
41,long class,255,200,35,20,../input_projects/java_projects/maven-3-9-6/maven-core/src/main/java/org/apache/maven/artifact/resolver/ArtifactResolutionRequest.java
36,long class,241,200,15,20,../input_projects/java_projects/maven-3-9-6/maven-repository-metadata/src/test/java/org/apache/maven/artifact/repository/metadata/MetadataTest.java
