Line,Smell,Number of Parameters,Threshold,File
103,long parameters,6,5,../input_projects/java_projects/maven-3-9-6/maven-core/src/main/java/org/apache/maven/lifecycle/internal/LifecycleDependencyResolver.java
188,long parameters,6,5,../input_projects/java_projects/maven-3-9-6/maven-core/src/main/java/org/apache/maven/lifecycle/internal/LifecycleDependencyResolver.java
111,long parameters,6,5,../input_projects/java_projects/maven-3-9-6/maven-core/src/main/java/org/apache/maven/lifecycle/DefaultLifecycleExecutor.java
81,long parameters,7,5,../input_projects/java_projects/maven-3-9-6/maven-core/src/main/java/org/apache/maven/project/ProjectModelResolver.java
395,long parameters,8,5,../input_projects/java_projects/maven-3-9-6/maven-core/src/main/java/org/apache/maven/project/DefaultProjectBuilder.java
420,long parameters,8,5,../input_projects/java_projects/maven-3-9-6/maven-core/src/main/java/org/apache/maven/project/DefaultProjectBuilder.java
599,long parameters,7,5,../input_projects/java_projects/maven-3-9-6/maven-core/src/main/java/org/apache/maven/project/DefaultProjectBuilder.java
660,long parameters,6,5,../input_projects/java_projects/maven-3-9-6/maven-core/src/main/java/org/apache/maven/project/DefaultProjectBuilder.java
76,long parameters,6,5,../input_projects/java_projects/maven-3-9-6/maven-core/src/main/java/org/apache/maven/project/artifact/DefaultProjectArtifactsCache.java
199,long parameters,9,5,../input_projects/java_projects/maven-3-9-6/maven-core/src/main/java/org/apache/maven/project/ProjectSorter.java
229,long parameters,6,5,../input_projects/java_projects/maven-3-9-6/maven-core/src/main/java/org/apache/maven/project/ProjectSorter.java
149,long parameters,6,5,../input_projects/java_projects/maven-3-9-6/maven-core/src/main/java/org/apache/maven/classrealm/DefaultClassRealmManager.java
279,long parameters,6,5,../input_projects/java_projects/maven-3-9-6/maven-core/src/main/java/org/apache/maven/classrealm/DefaultClassRealmManager.java
288,long parameters,9,5,../input_projects/java_projects/maven-3-9-6/maven-core/src/main/java/org/apache/maven/execution/MavenSession.java
313,long parameters,10,5,../input_projects/java_projects/maven-3-9-6/maven-core/src/main/java/org/apache/maven/execution/MavenSession.java
48,long parameters,6,5,../input_projects/java_projects/maven-3-9-6/maven-core/src/main/java/org/apache/maven/artifact/factory/DefaultArtifactFactory.java
58,long parameters,7,5,../input_projects/java_projects/maven-3-9-6/maven-core/src/main/java/org/apache/maven/artifact/factory/DefaultArtifactFactory.java
69,long parameters,7,5,../input_projects/java_projects/maven-3-9-6/maven-core/src/main/java/org/apache/maven/artifact/factory/DefaultArtifactFactory.java
80,long parameters,8,5,../input_projects/java_projects/maven-3-9-6/maven-core/src/main/java/org/apache/maven/artifact/factory/DefaultArtifactFactory.java
116,long parameters,7,5,../input_projects/java_projects/maven-3-9-6/maven-core/src/main/java/org/apache/maven/artifact/factory/DefaultArtifactFactory.java
131,long parameters,7,5,../input_projects/java_projects/maven-3-9-6/maven-core/src/main/java/org/apache/maven/artifact/factory/DefaultArtifactFactory.java
142,long parameters,8,5,../input_projects/java_projects/maven-3-9-6/maven-core/src/main/java/org/apache/maven/artifact/factory/DefaultArtifactFactory.java
38,long parameters,6,5,../input_projects/java_projects/maven-3-9-6/maven-core/src/main/java/org/apache/maven/artifact/factory/ArtifactFactory.java
41,long parameters,7,5,../input_projects/java_projects/maven-3-9-6/maven-core/src/main/java/org/apache/maven/artifact/factory/ArtifactFactory.java
50,long parameters,7,5,../input_projects/java_projects/maven-3-9-6/maven-core/src/main/java/org/apache/maven/artifact/factory/ArtifactFactory.java
59,long parameters,8,5,../input_projects/java_projects/maven-3-9-6/maven-core/src/main/java/org/apache/maven/artifact/factory/ArtifactFactory.java
