Line,Smell,Number of Lines,Threshold_nol,Number of Children,Threshold_noc,File
35,long class,151,200,24,20,../input_projects/java_projects/junit5/junit-jupiter-params/src/test/java/org/junit/jupiter/params/aggregator/DefaultArgumentsAccessorTests.java
60,long class,362,200,34,20,../input_projects/java_projects/junit5/junit-jupiter-params/src/test/java/org/junit/jupiter/params/aggregator/AggregatorIntegrationTests.java
40,long class,496,200,40,20,../input_projects/java_projects/junit5/junit-jupiter-params/src/test/java/org/junit/jupiter/params/provider/CsvFileArgumentsProviderTests.java
50,long class,1006,200,128,20,../input_projects/java_projects/junit5/junit-jupiter-params/src/test/java/org/junit/jupiter/params/provider/MethodArgumentsProviderTests.java
375,long class,199,200,22,20,../input_projects/java_projects/junit5/junit-jupiter-params/src/test/java/org/junit/jupiter/params/provider/MethodArgumentsProviderTests.java
824,long class,162,200,36,20,../input_projects/java_projects/junit5/junit-jupiter-params/src/test/java/org/junit/jupiter/params/provider/MethodArgumentsProviderTests.java
27,long class,363,200,38,20,../input_projects/java_projects/junit5/junit-jupiter-params/src/test/java/org/junit/jupiter/params/provider/CsvArgumentsProviderTests.java
21,long class,189,200,27,20,../input_projects/java_projects/junit5/junit-jupiter-params/src/test/java/org/junit/jupiter/params/provider/MockCsvAnnotationBuilder.java
50,long class,319,200,40,20,../input_projects/java_projects/junit5/junit-jupiter-params/src/test/java/org/junit/jupiter/params/ParameterizedTestExtensionTests.java
46,long class,257,200,30,20,../input_projects/java_projects/junit5/junit-jupiter-params/src/test/java/org/junit/jupiter/params/ParameterizedTestNameFormatterTests.java
44,long class,232,200,19,20,../input_projects/java_projects/junit5/junit-jupiter-params/src/main/java/org/junit/jupiter/params/ParameterizedTestMethodContext.java
35,long class,275,200,9,20,../input_projects/java_projects/junit5/junit-platform-console/src/main/java/org/junit/platform/console/options/TestDiscoveryOptionsMixin.java
41,long class,224,200,46,20,../input_projects/java_projects/junit5/junit-platform-console/src/main/java/org/junit/platform/console/options/TestDiscoveryOptions.java
84,long class,247,200,15,20,../input_projects/java_projects/junit5/junit-platform-launcher/src/main/java/org/junit/platform/launcher/core/LauncherDiscoveryRequestBuilder.java
39,long class,251,200,35,20,../input_projects/java_projects/junit5/junit-platform-launcher/src/main/java/org/junit/platform/launcher/core/LauncherConfigurationParameters.java
61,long class,286,200,20,20,../input_projects/java_projects/junit5/junit-platform-launcher/src/main/java/org/junit/platform/launcher/TestPlan.java
47,long class,300,200,23,20,../input_projects/java_projects/junit5/junit-platform-launcher/src/main/java/org/junit/platform/launcher/TestIdentifier.java
34,long class,274,200,30,20,../input_projects/java_projects/junit5/junit-platform-launcher/src/main/java/org/junit/platform/launcher/listeners/MutableTestExecutionSummary.java
29,long class,742,200,59,20,../input_projects/java_projects/junit5/junit-jupiter-engine/src/test/java/org/junit/jupiter/api/AssertEqualsAssertionsTests.java
32,long class,148,200,24,20,../input_projects/java_projects/junit5/junit-jupiter-engine/src/test/java/org/junit/jupiter/api/extension/KitchenSinkExtension.java
36,long class,243,200,17,20,../input_projects/java_projects/junit5/junit-jupiter-engine/src/test/java/org/junit/jupiter/api/AssertThrowsAssertionsTests.java
40,long class,215,200,20,20,../input_projects/java_projects/junit5/junit-jupiter-engine/src/test/java/org/junit/jupiter/api/AssertTimeoutPreemptivelyAssertionsTests.java
30,long class,291,200,25,20,../input_projects/java_projects/junit5/junit-jupiter-engine/src/test/java/org/junit/jupiter/api/AssertDoesNotThrowAssertionsTests.java
35,long class,443,200,31,20,../input_projects/java_projects/junit5/junit-jupiter-engine/src/test/java/org/junit/jupiter/api/AssertIterableEqualsAssertionsTests.java
26,long class,1951,200,122,20,../input_projects/java_projects/junit5/junit-jupiter-engine/src/test/java/org/junit/jupiter/api/AssertArrayEqualsAssertionsTests.java
38,long class,169,200,28,20,../input_projects/java_projects/junit5/junit-jupiter-engine/src/test/java/org/junit/jupiter/api/condition/EnabledOnOsIntegrationTests.java
43,long class,198,200,22,20,../input_projects/java_projects/junit5/junit-jupiter-engine/src/test/java/org/junit/jupiter/api/condition/DisabledOnJreConditionTests.java
36,long class,231,200,25,20,../input_projects/java_projects/junit5/junit-jupiter-engine/src/test/java/org/junit/jupiter/api/condition/EnabledOnOsConditionTests.java
43,long class,198,200,22,20,../input_projects/java_projects/junit5/junit-jupiter-engine/src/test/java/org/junit/jupiter/api/condition/EnabledOnJreConditionTests.java
36,long class,231,200,25,20,../input_projects/java_projects/junit5/junit-jupiter-engine/src/test/java/org/junit/jupiter/api/condition/DisabledOnOsConditionTests.java
