Line,Smell,Cause,Number of Conditions,Threshold,File
683,complex conditional,long if,4,3,../input_projects/multi_projects/jython/lib-python/2.7/distutils/dist.py
785,complex conditional,long if,5,3,../input_projects/multi_projects/jython/lib-python/2.7/distutils/dist.py
840,complex conditional,long if,4,3,../input_projects/multi_projects/jython/lib-python/2.7/distutils/dist.py
890,complex conditional,long if,4,3,../input_projects/multi_projects/jython/lib-python/2.7/distutils/dist.py
200,complex conditional,long if,10,3,../input_projects/multi_projects/jython/lib-python/2.7/distutils/bcppcompiler.py
128,complex conditional,long if,10,3,../input_projects/multi_projects/jython/lib-python/2.7/asyncore.py
178,complex conditional,long if,7,3,../input_projects/multi_projects/jython/lib-python/2.7/asyncore.py
440,complex conditional,long if,4,3,../input_projects/multi_projects/jython/lib-python/2.7/asyncore.py
78,complex conditional,long if,4,3,../input_projects/multi_projects/jython/lib-python/2.7/lib-tk/tkFont.py
55,complex conditional,long if,10,3,../input_projects/multi_projects/jython/lib-python/2.7/lib-tk/FixTk.py
23,complex conditional,long if,5,3,../input_projects/multi_projects/jython/lib-python/2.7/lib-tk/test/runtktests.py
80,complex conditional,long if,4,3,../input_projects/multi_projects/jython/lib-python/2.7/lib-tk/test/runtktests.py
167,complex conditional,long if,5,3,../input_projects/multi_projects/jython/lib-python/2.7/lib-tk/Tkdnd.py
121,complex conditional,long if,5,3,../input_projects/multi_projects/jython/lib-python/2.7/lib-tk/ttk.py
334,complex conditional,long if,4,3,../input_projects/multi_projects/jython/lib-python/2.7/lib-tk/ttk.py
242,complex conditional,long if,5,3,../input_projects/multi_projects/jython/lib-python/2.7/lib-tk/FileDialog.py
834,complex conditional,long if,7,3,../input_projects/multi_projects/jython/lib-python/2.7/lib-tk/turtle.py
1076,complex conditional,long if,4,3,../input_projects/multi_projects/jython/lib-python/2.7/lib-tk/turtle.py
1337,complex conditional,long if,4,3,../input_projects/multi_projects/jython/lib-python/2.7/lib-tk/turtle.py
1767,complex conditional,long if,4,3,../input_projects/multi_projects/jython/lib-python/2.7/lib-tk/turtle.py
2122,complex conditional,long if,5,3,../input_projects/multi_projects/jython/lib-python/2.7/lib-tk/turtle.py
2328,complex conditional,long if,4,3,../input_projects/multi_projects/jython/lib-python/2.7/lib-tk/turtle.py
2407,complex conditional,long if,4,3,../input_projects/multi_projects/jython/lib-python/2.7/lib-tk/turtle.py
2427,complex conditional,long if,6,3,../input_projects/multi_projects/jython/lib-python/2.7/lib-tk/turtle.py
2561,complex conditional,long if,4,3,../input_projects/multi_projects/jython/lib-python/2.7/lib-tk/turtle.py
2646,complex conditional,long if,4,3,../input_projects/multi_projects/jython/lib-python/2.7/lib-tk/turtle.py
2708,complex conditional,long if,4,3,../input_projects/multi_projects/jython/lib-python/2.7/lib-tk/turtle.py
2803,complex conditional,long if,12,3,../input_projects/multi_projects/jython/lib-python/2.7/lib-tk/turtle.py
2870,complex conditional,long if,7,3,../input_projects/multi_projects/jython/lib-python/2.7/lib-tk/turtle.py
2996,complex conditional,long if,5,3,../input_projects/multi_projects/jython/lib-python/2.7/lib-tk/turtle.py
3055,complex conditional,long if,5,3,../input_projects/multi_projects/jython/lib-python/2.7/lib-tk/turtle.py
3080,complex conditional,long if,4,3,../input_projects/multi_projects/jython/lib-python/2.7/lib-tk/turtle.py
3086,complex conditional,long if,4,3,../input_projects/multi_projects/jython/lib-python/2.7/lib-tk/turtle.py
3168,complex conditional,long if,5,3,../input_projects/multi_projects/jython/lib-python/2.7/lib-tk/turtle.py
3230,complex conditional,long if,5,3,../input_projects/multi_projects/jython/lib-python/2.7/lib-tk/turtle.py
3243,complex conditional,long if,6,3,../input_projects/multi_projects/jython/lib-python/2.7/lib-tk/turtle.py
3486,complex conditional,long if,8,3,../input_projects/multi_projects/jython/lib-python/2.7/lib-tk/turtle.py
3798,complex conditional,long if,4,3,../input_projects/multi_projects/jython/lib-python/2.7/lib-tk/turtle.py
3875,complex conditional,long if,7,3,../input_projects/multi_projects/jython/lib-python/2.7/lib-tk/turtle.py
491,complex conditional,long if,4,3,../input_projects/multi_projects/jython/lib-python/2.7/lib-tk/Tix.py
71,complex conditional,long if,8,3,../input_projects/multi_projects/jython/lib-python/2.7/lib-tk/Tkinter.py
982,complex conditional,long if,4,3,../input_projects/multi_projects/jython/lib-python/2.7/lib-tk/Tkinter.py
1108,complex conditional,long if,7,3,../input_projects/multi_projects/jython/lib-python/2.7/lib-tk/Tkinter.py
1332,complex conditional,long if,4,3,../input_projects/multi_projects/jython/lib-python/2.7/lib-tk/Tkinter.py
1340,complex conditional,long if,4,3,../input_projects/multi_projects/jython/lib-python/2.7/lib-tk/Tkinter.py
1359,complex conditional,long if,4,3,../input_projects/multi_projects/jython/lib-python/2.7/lib-tk/Tkinter.py
1998,complex conditional,long if,4,3,../input_projects/multi_projects/jython/lib-python/2.7/lib-tk/Tkinter.py
3280,complex conditional,long if,4,3,../input_projects/multi_projects/jython/lib-python/2.7/lib-tk/Tkinter.py
93,complex conditional,long if,4,3,../input_projects/multi_projects/jython/lib-python/2.7/sndhdr.py
429,complex conditional,long if,5,3,../input_projects/multi_projects/jython/lib-python/2.7/gzip.py
498,complex conditional,long if,5,3,../input_projects/multi_projects/jython/lib-python/2.7/gzip.py
8,complex conditional,long if,4,3,../input_projects/multi_projects/jython/lib-python/2.7/ctypes/test/test_loading.py
44,complex conditional,long if,5,3,../input_projects/multi_projects/jython/lib-python/2.7/ctypes/test/test_loading.py
159,complex conditional,long if,4,3,../input_projects/multi_projects/jython/lib-python/2.7/ctypes/test/test_slicing.py
40,complex conditional,long if,4,3,../input_projects/multi_projects/jython/lib-python/2.7/ctypes/test/__init__.py
140,complex conditional,long if,5,3,../input_projects/multi_projects/jython/lib-python/2.7/ctypes/test/__init__.py
164,complex conditional,long if,6,3,../input_projects/multi_projects/jython/lib-python/2.7/ctypes/test/__init__.py
36,complex conditional,long if,4,3,../input_projects/multi_projects/jython/lib-python/2.7/ctypes/test/test_win32.py
7,complex conditional,long if,12,3,../input_projects/multi_projects/jython/lib-python/2.7/ctypes/util.py
74,complex conditional,long if,22,3,../input_projects/multi_projects/jython/lib-python/2.7/ctypes/util.py
57,complex conditional,long if,4,3,../input_projects/multi_projects/jython/lib-python/2.7/ctypes/__init__.py
111,complex conditional,long if,8,3,../input_projects/multi_projects/jython/lib-python/2.7/ctypes/__init__.py
456,complex conditional,long if,5,3,../input_projects/multi_projects/jython/lib-python/2.7/ctypes/__init__.py
473,complex conditional,long if,4,3,../input_projects/multi_projects/jython/lib-python/2.7/ctypes/__init__.py
546,complex conditional,long if,4,3,../input_projects/multi_projects/jython/lib-python/2.7/ctypes/__init__.py
30,complex conditional,long if,6,3,../input_projects/multi_projects/jython/lib-python/2.7/user.py
134,complex conditional,long if,6,3,../input_projects/multi_projects/jython/lib-python/2.7/urllib2.py
363,complex conditional,long if,5,3,../input_projects/multi_projects/jython/lib-python/2.7/urllib2.py
501,complex conditional,long if,4,3,../input_projects/multi_projects/jython/lib-python/2.7/urllib2.py
714,complex conditional,long if,4,3,../input_projects/multi_projects/jython/lib-python/2.7/urllib2.py
879,complex conditional,long if,5,3,../input_projects/multi_projects/jython/lib-python/2.7/urllib2.py
1034,complex conditional,long if,4,3,../input_projects/multi_projects/jython/lib-python/2.7/urllib2.py
1128,complex conditional,long if,4,3,../input_projects/multi_projects/jython/lib-python/2.7/urllib2.py
1296,complex conditional,long if,4,3,../input_projects/multi_projects/jython/lib-python/2.7/urllib2.py
279,complex conditional,long if,4,3,../input_projects/multi_projects/jython/lib-python/2.7/trace.py
373,complex conditional,long if,4,3,../input_projects/multi_projects/jython/lib-python/2.7/trace.py
485,complex conditional,long if,6,3,../input_projects/multi_projects/jython/lib-python/2.7/trace.py
539,complex conditional,long if,9,3,../input_projects/multi_projects/jython/lib-python/2.7/trace.py
596,complex conditional,long if,6,3,../input_projects/multi_projects/jython/lib-python/2.7/trace.py
35,complex conditional,long if,5,3,../input_projects/multi_projects/jython/lib-python/2.7/webbrowser.py
104,complex conditional,long if,6,3,../input_projects/multi_projects/jython/lib-python/2.7/webbrowser.py
239,complex conditional,long if,6,3,../input_projects/multi_projects/jython/lib-python/2.7/webbrowser.py
260,complex conditional,long if,5,3,../input_projects/multi_projects/jython/lib-python/2.7/webbrowser.py
491,complex conditional,long if,6,3,../input_projects/multi_projects/jython/lib-python/2.7/webbrowser.py
538,complex conditional,long if,8,3,../input_projects/multi_projects/jython/lib-python/2.7/webbrowser.py
