Line,Smell,Number of Parameters,Threshold,File
127,long parameters,7,5,../input_projects/multi_projects/jython/lib-python/2.7/unittest/runner.py
528,long parameters,6,5,../input_projects/multi_projects/jython/lib-python/2.7/unittest/case.py
566,long parameters,6,5,../input_projects/multi_projects/jython/lib-python/2.7/unittest/case.py
978,long parameters,6,5,../input_projects/multi_projects/jython/lib-python/2.7/unittest/case.py
72,long parameters,11,5,../input_projects/multi_projects/jython/lib-python/2.7/unittest/main.py
251,long parameters,6,5,../input_projects/multi_projects/jython/lib-python/2.7/bdb.py
473,long parameters,6,5,../input_projects/multi_projects/jython/lib-python/2.7/bdb.py
115,long parameters,10,5,../input_projects/multi_projects/jython/lib-python/2.7/textwrap.py
262,long parameters,6,5,../input_projects/multi_projects/jython/lib-python/2.7/cgitb.py
55,long parameters,6,5,../input_projects/multi_projects/jython/lib-python/2.7/pyclbr.py
79,long parameters,6,5,../input_projects/multi_projects/jython/lib-python/2.7/test/test_descr.py
100,long parameters,7,5,../input_projects/multi_projects/jython/lib-python/2.7/test/test_descr.py
114,long parameters,6,5,../input_projects/multi_projects/jython/lib-python/2.7/test/test_descr.py
133,long parameters,7,5,../input_projects/multi_projects/jython/lib-python/2.7/test/test_descr.py
152,long parameters,8,5,../input_projects/multi_projects/jython/lib-python/2.7/test/test_descr.py
138,long parameters,6,5,../input_projects/multi_projects/jython/lib-python/2.7/test/test_wsgiref.py
45,long parameters,6,5,../input_projects/multi_projects/jython/lib-python/2.7/test/test_cmd_line_script.py
69,long parameters,6,5,../input_projects/multi_projects/jython/lib-python/2.7/test/test_cmd_line_script.py
121,long parameters,6,5,../input_projects/multi_projects/jython/lib-python/2.7/test/test_fractions.py
1121,long parameters,6,5,../input_projects/multi_projects/jython/lib-python/2.7/test/test_weakref.py
1848,long parameters,6,5,../input_projects/multi_projects/jython/lib-python/2.7/test/test_logging.py
47,long parameters,6,5,../input_projects/multi_projects/jython/lib-python/2.7/test/test_print.py
