Line,Smell,Number of Lines,Threshold_nol,Number of Children,Threshold_noc,File
36,long class,1623,200,101,20,../input_projects/multi_projects/jython/lib-python/2.7/test/test_unicode.py
66,long class,730,200,61,20,../input_projects/multi_projects/jython/lib-python/2.7/test/test_weakref.py
902,long class,378,200,31,20,../input_projects/multi_projects/jython/lib-python/2.7/test/test_weakref.py
44,long class,496,200,40,20,../input_projects/multi_projects/jython/lib-python/2.7/test/test_gc.py
132,long class,504,200,33,20,../input_projects/multi_projects/jython/lib-python/2.7/test/test_class.py
108,long class,201,200,22,20,../input_projects/multi_projects/jython/lib-python/2.7/test/test_telnetlib.py
87,long class,311,200,8,20,../input_projects/multi_projects/jython/lib-python/2.7/test/test_strtod.py
71,long class,196,200,28,20,../input_projects/multi_projects/jython/lib-python/2.7/test/test_decorators.py
24,long class,316,200,26,20,../input_projects/multi_projects/jython/lib-python/2.7/test/test_gzip.py
7,long class,317,200,50,20,../input_projects/multi_projects/jython/lib-python/2.7/test/test_augassign.py
125,long class,104,200,38,20,../input_projects/multi_projects/jython/lib-python/2.7/test/test_augassign.py
174,long class,245,200,17,20,../input_projects/multi_projects/jython/lib-python/2.7/test/test_sax.py
460,long class,269,200,23,20,../input_projects/multi_projects/jython/lib-python/2.7/test/test_sax.py
33,long class,535,200,45,20,../input_projects/multi_projects/jython/lib-python/2.7/test/test_zipfile.py
758,long class,368,200,33,20,../input_projects/multi_projects/jython/lib-python/2.7/test/test_zipfile.py
505,long class,316,200,9,20,../input_projects/multi_projects/jython/lib-python/2.7/test/test_logging.py
1072,long class,768,200,21,20,../input_projects/multi_projects/jython/lib-python/2.7/test/test_logging.py
109,long class,77,200,22,20,../input_projects/multi_projects/jython/lib-python/2.7/test/test_with.py
352,long class,189,200,31,20,../input_projects/multi_projects/jython/lib-python/2.7/test/test_with.py
35,long class,476,200,67,20,../input_projects/multi_projects/jython/lib-python/2.7/test/test_operator.py
201,long class,122,200,22,20,../input_projects/multi_projects/jython/lib-python/2.7/test/test_optparse.py
634,long class,142,200,28,20,../input_projects/multi_projects/jython/lib-python/2.7/test/test_optparse.py
624,long class,642,200,32,20,../input_projects/multi_projects/jython/lib-python/2.7/test/test_urllib2.py
72,long class,372,200,19,20,../input_projects/multi_projects/jython/lib-python/2.7/test/test_threading.py
447,long class,242,200,9,20,../input_projects/multi_projects/jython/lib-python/2.7/test/test_threading.py
7,long class,240,200,16,20,../input_projects/multi_projects/jython/lib-python/2.7/test/test_time.py
50,long class,874,200,87,20,../input_projects/multi_projects/jython/lib-python/2.7/test/test_iter.py
417,long class,571,200,50,20,../input_projects/multi_projects/jython/lib-python/2.7/test/pickletester.py
294,long class,837,200,32,20,../input_projects/multi_projects/jython/lib-python/2.7/test/test_cookielib.py
1134,long class,615,200,13,20,../input_projects/multi_projects/jython/lib-python/2.7/test/test_cookielib.py
367,long class,498,200,27,20,../input_projects/multi_projects/jython/lib-python/2.7/test/_mock_backport.py
1063,long class,291,200,11,20,../input_projects/multi_projects/jython/lib-python/2.7/test/_mock_backport.py
506,long class,221,200,27,20,../input_projects/multi_projects/jython/lib-python/2.7/test/test_asyncore.py
87,long class,305,200,25,20,../input_projects/multi_projects/jython/lib-python/2.7/test/seq_tests.py
27,long class,477,200,43,20,../input_projects/multi_projects/jython/lib-python/2.7/test/test_posix.py
55,long class,881,200,52,20,../input_projects/multi_projects/jython/lib-python/2.7/test/test_itertools.py
1020,long class,95,200,22,20,../input_projects/multi_projects/jython/lib-python/2.7/test/test_itertools.py
99,long class,332,200,30,20,../input_projects/multi_projects/jython/lib-python/2.7/test/test_sgmllib.py
205,long class,203,200,12,20,../input_projects/multi_projects/jython/lib-python/2.7/test/test_decimal.py
687,long class,216,200,3,20,../input_projects/multi_projects/jython/lib-python/2.7/test/test_decimal.py
906,long class,279,200,11,20,../input_projects/multi_projects/jython/lib-python/2.7/test/test_decimal.py
1248,long class,414,200,17,20,../input_projects/multi_projects/jython/lib-python/2.7/test/test_decimal.py
1758,long class,452,200,60,20,../input_projects/multi_projects/jython/lib-python/2.7/test/test_decimal.py
415,long class,208,200,9,20,../input_projects/multi_projects/jython/lib-python/2.7/test/test_multiprocessing.py
1452,long class,242,200,11,20,../input_projects/multi_projects/jython/lib-python/2.7/test/test_multiprocessing.py
33,long class,756,200,44,20,../input_projects/multi_projects/jython/lib-python/2.7/test/test_array.py
103,long class,237,200,10,20,../input_projects/multi_projects/jython/lib-python/2.7/test/test_mhlib.py
119,long class,889,200,82,20,../input_projects/multi_projects/jython/lib-python/2.7/test/test_grammar.py
10,long class,693,200,97,20,../input_projects/multi_projects/jython/lib-python/2.7/test/test_copy.py
41,long class,478,200,50,20,../input_projects/multi_projects/jython/lib-python/2.7/test/test_bytes.py
522,long class,358,200,27,20,../input_projects/multi_projects/jython/lib-python/2.7/test/test_bytes.py
247,long class,478,200,35,20,../input_projects/multi_projects/jython/lib-python/2.7/test/test_socket.py
48,long class,293,200,33,20,../input_projects/multi_projects/jython/lib-python/2.7/test/test_bz2.py
36,long class,357,200,43,20,../input_projects/multi_projects/jython/lib-python/2.7/test/test_hashlib.py
17,long class,245,200,28,20,../input_projects/multi_projects/jython/lib-python/2.7/test/test_compiler.py
6,long class,649,200,90,20,../input_projects/multi_projects/jython/lib-python/2.7/test/test_scope.py
14,long class,478,200,30,20,../input_projects/multi_projects/jython/lib-python/2.7/test/test_exceptions.py
32,long class,323,200,16,20,../input_projects/multi_projects/jython/lib-python/2.7/test/test_cfgparser.py
19,long class,303,200,16,20,../input_projects/multi_projects/jython/lib-python/2.7/test/test_sysconfig.py
47,long class,389,200,29,20,../input_projects/multi_projects/jython/lib-python/2.7/test/test_textwrap.py
37,long class,406,200,45,20,../input_projects/multi_projects/jython/lib-python/2.7/test/test_weakset.py
21,long class,241,200,33,20,../input_projects/multi_projects/jython/lib-python/2.7/test/test_fileio.py
264,long class,203,200,15,20,../input_projects/multi_projects/jython/lib-python/2.7/test/test_fileio.py
34,long class,533,200,30,20,../input_projects/multi_projects/jython/lib-python/2.7/test/test_struct.py
255,long class,354,200,39,20,../input_projects/multi_projects/jython/lib-python/2.7/test/test_io.py
1017,long class,247,200,26,20,../input_projects/multi_projects/jython/lib-python/2.7/test/test_io.py
1439,long class,219,200,27,20,../input_projects/multi_projects/jython/lib-python/2.7/test/test_io.py
1833,long class,638,200,53,20,../input_projects/multi_projects/jython/lib-python/2.7/test/test_io.py
2847,long class,185,200,22,20,../input_projects/multi_projects/jython/lib-python/2.7/test/test_io.py
17,long class,255,200,16,20,../input_projects/multi_projects/jython/lib-python/2.7/test/test__osx_support.py
8,long class,355,200,28,20,../input_projects/multi_projects/jython/lib-python/2.7/test/test_bool.py
7,long class,448,200,37,20,../input_projects/multi_projects/jython/lib-python/2.7/test/test_str.py
16,long class,243,200,25,20,../input_projects/multi_projects/jython/lib-python/2.7/test/test_multibytecodec_support.py
