Line,Smell,Number of Lines,Threshold_nol,Number of Children,Threshold_noc,File
12,long class,213,200,14,20,../input_projects/multi_projects/wagtail/wagtail/contrib/settings/tests/site_specific/test_model.py
32,long class,360,200,19,20,../input_projects/multi_projects/wagtail/wagtail/contrib/frontend_cache/tests.py
19,long class,221,200,31,20,../input_projects/multi_projects/wagtail/wagtail/contrib/routable_page/tests.py
15,long class,290,200,4,20,../input_projects/multi_projects/wagtail/wagtail/contrib/forms/tests/test_forms.py
527,long class,302,200,11,20,../input_projects/multi_projects/wagtail/wagtail/contrib/forms/tests/test_views.py
832,long class,204,200,8,20,../input_projects/multi_projects/wagtail/wagtail/contrib/forms/tests/test_views.py
199,long class,225,200,9,20,../input_projects/multi_projects/wagtail/wagtail/contrib/forms/tests/test_models.py
338,long class,217,200,7,20,../input_projects/multi_projects/wagtail/wagtail/contrib/simple_translation/tests/test_wagtail_hooks.py
22,long class,237,200,10,20,../input_projects/multi_projects/wagtail/wagtail/contrib/typed_table_block/tests.py
77,long class,201,200,9,20,../input_projects/multi_projects/wagtail/wagtail/contrib/typed_table_block/blocks.py
17,long class,423,200,18,20,../input_projects/multi_projects/wagtail/wagtail/contrib/table_block/tests.py
16,long class,316,200,21,20,../input_projects/multi_projects/wagtail/wagtail/contrib/redirects/tests/test_import_command.py
15,long class,557,200,22,20,../input_projects/multi_projects/wagtail/wagtail/contrib/redirects/tests/test_redirects.py
17,long class,359,200,19,20,../input_projects/multi_projects/wagtail/wagtail/contrib/redirects/tests/test_import_admin_views.py
15,long class,244,200,13,20,../input_projects/multi_projects/wagtail/wagtail/contrib/sitemaps/tests.py
9,long class,229,200,0,20,../input_projects/multi_projects/wagtail/wagtail/search/migrations/0006_customise_indexentry.py
315,long class,273,200,13,20,../input_projects/multi_projects/wagtail/wagtail/search/backends/database/sqlite/sqlite.py
362,long class,254,200,14,20,../input_projects/multi_projects/wagtail/wagtail/search/backends/database/postgres/postgres.py
285,long class,241,200,13,20,../input_projects/multi_projects/wagtail/wagtail/search/backends/database/mysql/mysql.py
49,long class,260,200,14,20,../input_projects/multi_projects/wagtail/wagtail/search/backends/elasticsearch7.py
452,long class,348,200,16,20,../input_projects/multi_projects/wagtail/wagtail/search/backends/elasticsearch7.py
36,long class,230,200,9,20,../input_projects/multi_projects/wagtail/wagtail/search/backends/base.py
39,long class,803,200,34,20,../input_projects/multi_projects/wagtail/wagtail/search/tests/test_elasticsearch7_backend.py
37,long class,921,200,66,20,../input_projects/multi_projects/wagtail/wagtail/search/tests/test_backends.py
964,long class,214,200,20,20,../input_projects/multi_projects/wagtail/wagtail/search/tests/test_backends.py
292,long class,331,200,21,20,../input_projects/multi_projects/wagtail/wagtail/users/tests/test_admin_views.py
816,long class,432,200,22,20,../input_projects/multi_projects/wagtail/wagtail/users/tests/test_admin_views.py
1571,long class,502,200,28,20,../input_projects/multi_projects/wagtail/wagtail/users/tests/test_admin_views.py
29,long class,238,200,4,20,../input_projects/multi_projects/wagtail/wagtail/actions/create_alias.py
31,long class,345,200,5,20,../input_projects/multi_projects/wagtail/wagtail/actions/copy_page.py
